"ID","Organism.Name","Strain","BioSample","BioProject","Assembly","GenBank.FTP"
30,"Streptomyces xiamenensis","318","SAMN03332981 ","PRJNA73797","GCA_000993785.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/993/785/GCA_000993785.2_ASM99378v2"
31,"Streptomyces acidiscabies 84-104","84-104","SAMN02471769 ","PRJNA77031","GCA_000242715.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/242/715/GCA_000242715.2_ASM24271v2"
32,"Streptomyces coelicoflavus ZG0656","ZG0656","SAMN02471212 ","PRJNA78167","GCA_000241835.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/241/835/GCA_000241835.2_ASM24183v2"
33,"Streptomyces somaliensis DSM 40738","DSM 40738","SAMN02471954 ","PRJNA81125","GCA_000258595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/258/595/GCA_000258595.1_Ssomaliensis1"
34,"Streptomyces viridosporus T7A","T7A","SAMN02261266 ","PRJNA63193","GCA_000316095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/316/095/GCA_000316095.1_ASM31609v1"
35,"Streptomyces auratus AGR0001","AGR0001","SAMN02472162 ","PRJNA88535","GCA_000280865.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/280/865/GCA_000280865.1_ASM28086v1"
36,"Streptomyces sulphureus DSM 40104","DSM 40104","SAMN02440478 ","PRJNA182442","GCA_000381025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/381/025/GCA_000381025.1_ASM38102v1"
37,"Streptomyces purpureus KA281","KA281","SAMN02261248 ","PRJNA157921","GCA_000384175.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/384/175/GCA_000384175.1_ASM38417v1"
38,"Streptomyces sp. CNT318","CNT318","SAMN02440809 ","PRJNA187951","GCA_000424765.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/424/765/GCA_000424765.1_ASM42476v1"
39,"Streptomyces globisporus C-1027","C-1027","SAMN02469977 ","PRJNA158251","GCA_000261345.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/261/345/GCA_000261345.2_ASM26134v2"
40,"Streptomyces tsukubensis NRRL18488","NRRL18488","SAMN02470052 ","PRJNA76771","GCA_000297155.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/297/155/GCA_000297155.2_ASM29715v2"
42,"Streptomyces vitaminophilus DSM 41686","DSM 41686","SAMN02256407 ","PRJNA165457","GCA_000380165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/380/165/GCA_000380165.1_ASM38016v1"
43,"Streptomyces mobaraensis NBRC 13819 = DSM 40847","DSM 40847","SAMN02470112 ","PRJNA188290","GCA_000342125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/342/125/GCA_000342125.1_S.mobaraensisn_1.0"
44,"Streptomyces bottropensis ATCC 25435","ATCC 25435","SAMN02471210 ","PRJNA176092","GCA_000340335.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/340/335/GCA_000340335.2_ASM34033v2"
45,"Streptomyces davawensis JCM 4913","JCM 4913","SAMEA2272568 ","PRJEB184","GCA_000349325.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/325/GCA_000349325.1_ASM34932v1"
47,"Streptomyces collinus Tu 365","Tu 365","SAMN02603029 ","PRJNA171216","GCA_000444875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/444/875/GCA_000444875.1_ASM44487v1"
48,"Streptomyces flavidovirens DSM 40150","DSM 40150","SAMN02440879 ","PRJNA185371","GCA_000429085.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/429/085/GCA_000429085.1_ASM42908v1"
49,"Streptomyces rimosus subsp. rimosus","NRRL ISP-5260","SAMN02645319 ","PRJNA238534","GCA_000717285.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/285/GCA_000717285.1_ASM71728v1"
50,"Streptomyces gancidicus BKS 13-15","BKS 13-15","SAMN02469981 ","PRJNA186841","GCA_000342345.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/342/345/GCA_000342345.1_Whole_genome_assembly"
51,"Streptomyces albulus","NK660","SAMN02709029 ","PRJNA242787","GCA_000695235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/695/235/GCA_000695235.1_ASM69523v1"
52,"Streptomyces flavovirens","NRRL B-2182","SAMN02645356 ","PRJNA238534","GCA_000720395.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/395/GCA_000720395.1_ASM72039v1"
53,"Streptomyces phaeochromogenes","NRRL B-1248","SAMN04004087 ","PRJNA293375","GCA_001418655.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/655/GCA_001418655.1_ASM141865v1"
54,"Streptomyces lavendulae","Fujisawa #8006","SAMN02645286 ","PRJNA238534","GCA_000715625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/625/GCA_000715625.1_ASM71562v1"
55,"Streptomyces natalensis ATCC 27448","ATCC 27448","SAMN03074232 ","PRJNA176961","GCA_000935125.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/935/125/GCA_000935125.1_SNA_1.0"
56,"Streptomyces violaceoruber","NRRL S-12","SAMN02645411 ","PRJNA238534","GCA_000717845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/845/GCA_000717845.1_ASM71784v1"
57,"Streptomyces canus 299MFChir4.1","299MFChir4.1","SAMN02440519 ","PRJNA187948","GCA_000383615.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/615/GCA_000383615.1_ASM38361v1"
58,"Streptomyces fulvissimus DSM 40593","DSM 40593","SAMN02603305 ","PRJNA192408","GCA_000385945.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/385/945/GCA_000385945.1_ASM38594v1"
59,"Streptomyces mirabilis","OV308","SAMN02787133 ","PRJNA247519","GCA_000745715.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/745/715/GCA_000745715.1_ASM74571v1"
60,"Streptomyces prunicolor NBRC 13075","NBRC 13075","SAMD00041815 ","PRJDB1071","GCA_000367365.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/367/365/GCA_000367365.1_ASM36736v1"
61,"Kitasatospora cheerisanensis KCTC 2395","KCTC 2395","SAMN02796068 ","PRJNA209102","GCA_000696185.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/185/GCA_000696185.1_ASM69618v1"
62,"Streptomyces aurantiacus","NRRL ISP-5412","SAMN04002962 ","PRJNA293375","GCA_001418335.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/418/335/GCA_001418335.1_ASM141833v1"
63,"Streptomyces afghaniensis 772","772","SAMN01893930 ","PRJNA186688","GCA_000415505.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/415/505/GCA_000415505.1_STAFG"
64,"Streptomyces lydicus A02","A02","SAMN02864172 ","PRJNA222592","GCA_000952035.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/952/035/GCA_000952035.1_ASM95203v1"
65,"Streptomyces niveus NCIMB 11891","NCIMB 11891","SAMN02469390 ","PRJNA210149","GCA_000497425.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/497/425/GCA_000497425.1_S.niveus_v1"
67,"Streptomyces exfoliatus","NRRL B-2924","SAMN02645344 ","PRJNA238534","GCA_000725545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/545/GCA_000725545.1_Doro.v1.0"
68,"Streptomyces thermolilacinus SPC6","SPC6","SAMN02116697 ","PRJNA193392","GCA_000478605.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/478/605/GCA_000478605.2_ASM47860v2"
69,"Streptomyces pratensis ATCC 33331","ATCC 33331","SAMN00191232 ","PRJNA33771","GCA_000176115.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/176/115/GCA_000176115.2_ASM17611v2"
70,"Streptomyces olindensis","DAUFPE 5622","SAMN02726841 ","PRJNA242835","GCA_000696115.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/696/115/GCA_000696115.1_SoWt_assembly"
72,"Streptomyces fradiae","ATCC 19609","SAMN02777962 ","PRJNA244372","GCA_000700005.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/700/005/GCA_000700005.1_ASM70000v1"
73,"Streptomyces griseorubens","JSD-1","SAMN02715572 ","PRJNA243545","GCA_000709915.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/709/915/GCA_000709915.1_JSD"
74,"Kitasatospora sp. MBT63","MBT63","SAMN02570253 ","PRJNA233559","GCA_000710465.2 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/710/465/GCA_000710465.2_KspMBT63_1.0"
80,"Streptomyces flavotricini","NRRL B-5419","SAMN02645296 ","PRJNA238534","GCA_000715705.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/705/GCA_000715705.1_ASM71570v1"
82,"Streptomyces monomycini","NRRL B-24309","SAMN02645312 ","PRJNA238534","GCA_000715845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/715/845/GCA_000715845.1_ASM71584v1"
83,"Streptomyces flaveus","NRRL WC-3505","SAMN02645427 ","PRJNA238534","GCA_000720755.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/755/GCA_000720755.1_ASM72075v1"
84,"Streptomyces baarnensis","NRRL B-2842","SAMN02645350 ","PRJNA238534","GCA_000716025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/025/GCA_000716025.1_ASM71602v1"
89,"Streptomyces xylophagus","NRRL B-12029","SAMN02645193 ","PRJNA238534","GCA_000716435.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/435/GCA_000716435.1_ASM71643v1"
90,"Streptomyces wedmorensis","NRRL 3426","SAMN02645189 ","PRJNA238534","GCA_000716445.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/445/GCA_000716445.1_ASM71644v1"
91,"Streptomyces bikiniensis","NRRL ISP-5582","SAMN02645375 ","PRJNA238534","GCA_000718595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/595/GCA_000718595.1_ASM71859v1"
92,"Streptomyces flaveolus","NRRL B-1589","SAMN02645200 ","PRJNA238534","GCA_000716535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/535/GCA_000716535.1_ASM71653v1"
93,"Streptomyces graminis","NRRL B-1570","SAMN02645198 ","PRJNA238534","GCA_000716525.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/525/GCA_000716525.1_ASM71652v1"
94,"Kitasatospora phosalacinea","NRRL B-16230","SAMN02645204 ","PRJNA238534","GCA_000716545.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/545/GCA_000716545.1_ASM71654v1"
95,"Streptomyces alboflavus","NRRL B-2373","SAMN02645294 ","PRJNA238534","GCA_000716675.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/675/GCA_000716675.1_ASM71667v1"
96,"Streptomyces virginiae","NRRL ISP-5094","SAMN02645365 ","PRJNA238534","GCA_000720455.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/455/GCA_000720455.1_ASM72045v1"
97,"Streptomyces yerevanensis","NRRL B-16943","SAMN02645188 ","PRJNA238534","GCA_000716805.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/805/GCA_000716805.1_ASM71680v1"
98,"Streptomyces olivaceus","NRRL B-3009","SAMN02645259 ","PRJNA238534","GCA_000721235.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/721/235/GCA_000721235.1_ASM72123v1"
99,"Streptomyces capuensis","NRRL B-12337","SAMN02645194 ","PRJNA238534","GCA_000716845.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/845/GCA_000716845.1_ASM71684v1"
100,"Streptomyces novaecaesareae","NRRL B-1267","SAMN02645195 ","PRJNA238534","GCA_000716875.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/875/GCA_000716875.1_ASM71687v1"
101,"Streptomyces aureofaciens","NRRL B-1286","SAMN02645196 ","PRJNA238534","GCA_000716885.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/885/GCA_000716885.1_ASM71688v1"
102,"Streptomyces alboviridis","NRRL B-1579","SAMN02645199 ","PRJNA238534","GCA_000716935.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/716/935/GCA_000716935.1_ASM71693v1"
103,"Streptomyces brasiliensis","NRRL B-1626","SAMN02645206 ","PRJNA238534","GCA_000717015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/015/GCA_000717015.1_ASM71701v1"
104,"Streptomyces atroolivaceus","NRRL ISP-5137","SAMN02645281 ","PRJNA238534","GCA_000717025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/025/GCA_000717025.1_ASM71702v1"
105,"Streptomyces fulvoviridis","NRRL ISP-5210","SAMN02645282 ","PRJNA238534","GCA_000717065.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/065/GCA_000717065.1_ASM71706v1"
106,"Streptomyces iakyrus","NRRL ISP-5482","SAMN02645283 ","PRJNA238534","GCA_000717055.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/055/GCA_000717055.1_ASM71705v1"
107,"Streptomyces anulatus","ATCC 11523","SAMN02951406 ","PRJNA257397","GCA_001434355.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/434/355/GCA_001434355.1_ASM143435v1"
108,"Streptomyces vinaceus","NRRL ISP-5257","SAMN02645316 ","PRJNA238534","GCA_000717215.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/215/GCA_000717215.1_ASM71721v1"
109,"[Kitasatospora] papulosa","NRRL B-16504","SAMN02645317 ","PRJNA238534","GCA_000717245.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/245/GCA_000717245.1_ASM71724v1"
111,"Streptomyces flavochromogenes","NRRL B-2684","SAMN02645343 ","PRJNA238534","GCA_000717595.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/595/GCA_000717595.1_ASM71759v1"
112,"Streptomyces floridae","NRRL 2423","SAMN02645357 ","PRJNA238534","GCA_000717665.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/665/GCA_000717665.1_ASM71766v1"
113,"Streptomyces katrae","NRRL ISP-5550","SAMN03323304 ","PRJNA238534","GCA_000966975.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/966/975/GCA_000966975.1_ASM96697v1"
114,"Streptomyces griseoluteus","NRRL ISP-5360","SAMN02645385 ","PRJNA238534","GCA_000717735.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/735/GCA_000717735.1_ASM71773v1"
115,"Streptomyces violens","NRRL ISP-5597","SAMN02645388 ","PRJNA238534","GCA_000717745.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/745/GCA_000717745.1_ASM71774v1"
116,"Streptomyces purpeochromogenes","NRRL B-3012","SAMN02645443 ","PRJNA238534","GCA_000717965.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/965/GCA_000717965.1_ASM71796v1"
117,"Streptomyces violaceorubidus","NRRL B-16381","SAMN02645210 ","PRJNA238534","GCA_000717995.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/995/GCA_000717995.1_ASM71799v1"
118,"Streptomyces purpeofuscus","NRRL B-1817","SAMN02645216 ","PRJNA238534","GCA_000718025.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/025/GCA_000718025.1_ASM71802v1"
119,"Streptomyces catenulae","NRRL B-2342","SAMN02645222 ","PRJNA238534","GCA_000718015.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/015/GCA_000718015.1_ASM71801v1"
120,"Streptomyces scopuliridis RB72","NRRL B-24574","SAMN02645233 ","PRJNA238534","GCA_000718095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/095/GCA_000718095.1_ASM71809v1"
121,"Streptomyces cyaneofuscatus","NRRL B-2570","SAMN02645238 ","PRJNA238534","GCA_000718135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/135/GCA_000718135.1_ASM71813v1"
122,"Streptomyces fulvoviolaceus","NRRL B-2870","SAMN02645250 ","PRJNA238534","GCA_000718165.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/165/GCA_000718165.1_ASM71816v1"
123,"Streptomyces niger","NRRL B-3857","SAMN02645268 ","PRJNA238534","GCA_000718305.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/305/GCA_000718305.1_ASM71830v1"
124,"Streptomyces griseofuscus","NRRL B-5429","SAMN02645272 ","PRJNA238534","GCA_000718315.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/315/GCA_000718315.1_ASM71831v1"
125,"Streptomyces varsoviensis","NRRL ISP-5346","SAMN02645386 ","PRJNA238534","GCA_000718635.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/635/GCA_000718635.1_ASM71863v1"
126,"Streptomyces lavenduligriseus","NRRL ISP-5487","SAMN02645384 ","PRJNA238534","GCA_000718625.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/625/GCA_000718625.1_ASM71862v1"
127,"Streptomyces puniceus","NRRL ISP-5083","SAMN02645397 ","PRJNA238534","GCA_000718695.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/695/GCA_000718695.1_ASM71869v1"
128,"Streptomyces megasporus","NRRL B-16372","SAMN02645209 ","PRJNA238534","GCA_000718985.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/718/985/GCA_000718985.1_ASM71898v1"
129,"Streptomyces ruber","NRRL ISP-5378","SAMN02645371 ","PRJNA238534","GCA_000725575.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/575/GCA_000725575.1_Doro.v1.0"
130,"Streptomyces avicenniae","NRRL B-24776","SAMN02645236 ","PRJNA238534","GCA_000719135.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/135/GCA_000719135.1_ASM71913v1"
131,"Streptomyces roseoverticillatus","NRRL B-3500","SAMN02645263 ","PRJNA238534","GCA_000719265.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/265/GCA_000719265.1_ASM71926v1"
132,"Streptomyces bicolor","NRRL B-3897","SAMN02645269 ","PRJNA238534","GCA_000725465.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/725/465/GCA_000725465.1_Doro.v1.0"
133,"Streptacidiphilus jeojiense","NRRL B-24555","SAMN02645232 ","PRJNA238534","GCA_000719095.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/095/GCA_000719095.1_ASM71909v1"
134,"Streptomyces sclerotialus","NRRL B-2317","SAMN02645221 ","PRJNA238534","GCA_000719105.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/719/105/GCA_000719105.1_ASM71910v1"
135,"Streptomyces albidoflavus","OsiLf-2","SAMN05712738 ","PRJNA340356","GCA_001865795.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/865/795/GCA_001865795.1_ASM186579v1"
136,"Streptomyces aureocirculatus","NRRL ISP-5386","SAMN02645370 ","PRJNA238534","GCA_000720475.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/475/GCA_000720475.1_ASM72047v1"
137,"Streptomyces ochraceiscleroticus","NRRL ISP-5594","SAMN02645378 ","PRJNA238534","GCA_000720485.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/485/GCA_000720485.1_ASM72048v1"
138,"Streptomyces halstedii","NRRL ISP-5068","SAMN02645380 ","PRJNA238534","GCA_000720535.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/535/GCA_000720535.1_ASM72053v1"
139,"Streptomyces achromogenes subsp. achromogenes","NRRL B-2120","SAMN02645217 ","PRJNA238534","GCA_000720835.1 ","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/720/835/GCA_000720835.1_ASM72083v1"
